City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
292,okahandja,-21.9833,16.9167,13.61,20,0,3.96,NA,7200
293,kodinsk,58.6881,99.1844,14.13,49,43,1.44,RU,25200
294,alexandria,31.2156,29.9553,26.3,76,0,4.97,EG,10800
295,remire-montjoly,4.9167,-52.2667,32.02,66,20,6.69,GF,-10800
296,abrud,46.2667,23.0667,12.79,92,0,1.49,RO,10800
297,kisangani,0.5167,25.2,23.73,84,84,0.92,CD,7200
298,chibougamau,49.9168,-74.3659,13.79,41,75,3.09,CA,-14400
299,namibe,-15.1961,12.1522,19.42,88,6,1.32,AO,3600
300,kone,-21.0595,164.8658,17.58,73,13,1.11,NC,39600
301,perushtitsa,42.05,24.55,20.6,49,0,2.69,BG,10800
302,khovd,48.0056,91.6419,18.97,45,100,2.76,MN,25200
303,kapuskasing,49.4169,-82.4331,19.0,37,75,6.17,CA,-14400
304,shingu,33.7333,135.9833,21.91,96,100,0.25,JP,32400
305,nelson bay,-32.7167,152.15,10.65,91,99,0.45,AU,36000
306,labrador city,52.9463,-66.9114,11.95,54,75,5.14,CA,-10800
307,goure,13.9835,10.2704,33.33,34,99,1.91,NE,3600
308,wenling,28.3669,121.36,22.72,96,100,0.69,CN,28800
309,narvik,68.4384,17.4272,15.25,76,17,3.16,NO,7200
310,gorgan,36.8387,54.4348,23.98,78,0,2.06,IR,12600
311,bee cave,30.3085,-97.945,33.3,51,75,3.58,US,-18000
312,salekhard,66.53,66.6019,8.0,62,100,5.36,RU,18000
313,mogocha,53.7333,119.7667,11.04,96,100,1.59,RU,32400
314,freetown,8.484,-13.2299,26.84,83,75,4.12,SL,0
315,palmer,42.1584,-72.3287,24.04,38,20,5.66,US,-14400
316,zhosaly,45.4878,64.0781,29.66,23,0,3.72,KZ,18000
317,sultanah,24.4926,39.5857,41.25,6,75,6.17,SA,10800
318,choyr,46.3611,108.3611,16.18,37,0,2.55,MN,28800
319,voznesensk,47.5649,31.3308,18.36,94,100,5.04,UA,10800
320,richards bay,-28.783,32.0377,17.73,74,0,2.09,ZA,7200
321,zouerate,22.7187,-12.4521,36.62,18,68,5.0,MR,0
322,atafu village,-8.5421,-172.5159,28.32,75,100,3.69,TK,46800
323,novaya balakhna,56.4906,43.5919,18.0,88,12,2.44,RU,10800
324,energetik,51.7445,58.7934,23.04,65,100,3.08,RU,18000
325,kavaratti,10.5669,72.642,28.83,78,100,5.38,IN,19800
326,purranque,-40.9167,-73.1667,10.16,74,21,1.57,CL,-14400
327,vilyuchinsk,52.9306,158.4028,8.85,88,100,0.1,RU,43200
328,envira,-7.3,-70.2167,29.5,69,81,1.19,BR,-18000
329,alaghsas,17.0187,8.0168,30.41,38,9,7.22,NE,3600
330,elko,41.0002,-115.5012,22.87,15,11,10.73,US,-25200
331,hargeysa,9.56,44.065,24.0,49,58,9.7,SO,10800
332,wasco,35.5941,-119.341,25.53,19,0,1.54,US,-25200
333,klamath falls,42.2249,-121.7817,11.59,51,0,4.12,US,-25200
334,rabo de peixe,37.8,-25.5833,17.77,99,20,5.14,PT,0
335,opuwo,-18.0607,13.84,16.73,20,0,3.42,NA,7200
336,lethbridge,49.7,-112.8186,16.0,59,100,2.06,CA,-21600
337,puerto santa,-8.9906,-78.6456,19.68,77,15,5.87,PE,-18000
338,akureyri,65.6835,-18.0878,11.96,71,40,7.2,IS,0
339,yanggu,36.1106,115.7753,27.86,41,75,4.8,CN,28800
340,oum hadjer,13.2954,19.6966,33.45,35,61,2.74,TD,3600
341,dunedin,-45.8742,170.5036,7.67,83,100,0.89,NZ,43200
342,santa elena de uairen,4.6167,-61.1333,21.46,79,100,2.88,VE,-14400
343,shengli,37.4564,118.4856,23.14,64,5,2.34,CN,28800
344,nadi,-17.8,177.4167,23.0,94,40,0.0,FJ,43200
345,baneh,35.9975,45.8853,19.84,31,0,2.6,IR,12600
346,sedalia,38.7045,-93.2283,29.89,54,0,6.17,US,-18000
347,sibolga,1.7427,98.7792,26.02,88,100,0.51,ID,25200
348,kiffa,16.6166,-11.4045,38.99,27,6,5.87,MR,0
349,nikolayevsk,50.0282,45.4595,22.81,66,100,4.52,RU,10800
350,shahrud,36.4182,54.9763,22.71,50,0,3.34,IR,12600
351,alesund,62.4723,6.1549,17.08,67,0,5.14,NO,7200
352,keflavik,64.0049,-22.5624,14.24,67,75,7.2,IS,0
353,buka,40.8108,69.1986,24.03,27,2,0.87,UZ,18000
354,adiake,5.2863,-3.304,24.79,89,99,2.36,CI,0
355,kharp,66.8014,65.8081,7.62,81,100,2.68,RU,18000
356,norton,-17.8833,30.7,10.04,65,0,2.54,ZW,7200
357,cockburn town,21.4612,-71.1419,27.75,79,100,3.59,TC,-14400
358,berezovyy,51.6667,135.7,10.76,97,100,1.61,RU,36000
359,bindura,-17.3019,31.3306,12.22,63,0,1.25,ZW,7200
360,aketi,2.7388,23.7833,22.56,97,100,2.03,CD,7200
361,kemijarvi,66.7131,27.4306,11.34,85,96,2.05,FI,10800
362,ebon,4.582,168.6964,28.38,76,100,4.87,MH,43200
363,lewistown,40.5992,-77.5714,25.56,100,0,2.72,US,-14400
364,severo-yeniseyskiy,60.3725,93.0408,14.76,68,100,1.34,RU,25200
365,baghdad,33.3406,44.4009,38.95,15,0,5.14,IQ,10800
366,orting,47.0979,-122.2043,13.39,76,75,4.12,US,-25200
367,puerto aysen,-45.4,-72.7,6.06,99,100,1.77,CL,-14400
368,vorgashor,67.5833,63.95,3.78,81,94,2.94,RU,10800
369,funadhoo,6.15,73.2667,28.26,78,100,5.79,MV,18000
370,eirunepe,-6.6603,-69.8736,29.22,68,100,0.56,BR,-18000
371,yigo village,13.5361,144.8886,27.29,85,40,6.17,GU,36000
372,belle fourche,44.6714,-103.8522,31.15,32,1,2.87,US,-21600
373,turpan,42.9333,89.1667,30.64,32,100,1.03,CN,28800
374,jayapura,-2.5333,140.7,24.66,96,89,2.32,ID,32400
375,sao gabriel da cachoeira,-0.1303,-67.0892,25.89,94,75,4.63,BR,-14400
376,aden,12.7794,45.0367,32.77,55,44,1.93,YE,10800
377,tindouf,27.6711,-8.1474,39.25,12,40,6.17,DZ,3600
378,port douglas,-16.4833,145.4667,19.32,72,2,1.76,AU,36000
379,terrace heights,46.6062,-120.4398,16.69,34,20,9.77,US,-25200
